criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,ccp_alpha,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
entropy,20,50,1,,balanced,0.0001,0.5,0.9974376312324282,0.9881412875692364,0.9987701683217387,0.9934272986197327,0.9998792110377206,0.9995236436067977
entropy,20,50,20,,balanced,0.0001,0.5,0.9974376312324282,0.9881412875692364,0.9987701683217387,0.9934272986197327,0.9998792110377206,0.9995236436067977
entropy,20,2,20,,balanced,0.0001,0.5,0.9974376312324282,0.9881412875692364,0.9987701683217387,0.9934272986197327,0.9998792081204004,0.9995236330043661
gini,15,2,1,,,0.0001,0.5,0.9971778355101605,0.9932380287383779,0.9921988289065512,0.9927181568580637,0.9987607681492949,0.9972915210172916
gini,15,2,20,,,0.0001,0.5,0.9971778355101605,0.9932380287383779,0.9921988289065512,0.9927181568580637,0.9987607681492949,0.9972915210172916
gini,15,50,1,,,0.0001,0.5,0.9971778355101605,0.9932380287383779,0.9921988289065512,0.9927181568580637,0.9987607681492949,0.9972915210172916
gini,15,50,20,,,0.0001,0.5,0.9971778355101605,0.9932380287383779,0.9921988289065512,0.9927181568580637,0.9987607681492949,0.9972915210172916
gini,20,2,1,,,0.0001,0.5,0.9971778355101605,0.9932380287383779,0.9921988289065512,0.9927181568580637,0.9987607681492949,0.9972915210172916
gini,20,2,20,,,0.0001,0.5,0.9971778355101605,0.9932380287383779,0.9921988289065512,0.9927181568580637,0.9987607681492949,0.9972915210172916
gini,20,50,1,,,0.0001,0.5,0.9971778355101605,0.9932380287383779,0.9921988289065512,0.9927181568580637,0.9987607681492949,0.9972915210172916
gini,20,50,20,,,0.0001,0.5,0.9971778355101605,0.9932380287383779,0.9921988289065512,0.9927181568580637,0.9987607681492949,0.9972915210172916
entropy,15,50,1,,balanced,0.0001,0.5,0.9971102174454607,0.9870228869085431,0.9982194974210246,0.9925896181645616,0.9998733939015495,0.9994968667888049
entropy,15,50,20,,balanced,0.0001,0.5,0.9971102174454607,0.9870228869085431,0.9982194974210246,0.9925896181645616,0.9998733939015495,0.9994968667888049
entropy,15,2,1,,balanced,0.0001,0.5,0.9971066585999502,0.9870049729572761,0.9982194974210246,0.9925805597890068,0.9998733830831543,0.9994968090675982
entropy,15,2,20,,balanced,0.0001,0.5,0.9971066585999502,0.9870049729572761,0.9982194974210246,0.9925805597890068,0.9998733830831543,0.9994968090675982
gini,15,2,1,,balanced,0.0,0.5,0.9966155379194989,0.9851714886520194,0.9975586923401678,0.991326395665934,0.9997870309770603,0.9990550139973325
gini,15,50,1,,balanced,0.0,0.5,0.9965514787003096,0.9848325601623659,0.9975770480368582,0.9911638383046242,0.9998358104320666,0.9992958888785097
gini,15,2,20,,balanced,0.0,0.5,0.996540802163778,0.9848493086137843,0.9975036252500964,0.9911360776231556,0.9998688247300646,0.9993862597464427
gini,15,50,20,,balanced,0.0,0.5,0.9965230079362255,0.9847600753841693,0.9975036252500964,0.9910908875372733,0.9998687682475071,0.9993860032911386
gini,20,2,1,,balanced,0.0001,0.5,0.9960710345563899,0.981680353758686,0.9983663429945484,0.9899530413891012,0.9996087171230892,0.9985149545455922
gini,20,2,20,,balanced,0.0001,0.5,0.9960710345563899,0.981680353758686,0.9983663429945484,0.9899530413891012,0.9996087171230892,0.9985149545455922
gini,20,50,1,,balanced,0.0001,0.5,0.9960710345563899,0.981680353758686,0.9983663429945484,0.9899530413891012,0.9996087171230892,0.9985149545455922
gini,20,50,20,,balanced,0.0001,0.5,0.9960710345563899,0.981680353758686,0.9983663429945484,0.9899530413891012,0.9996087171230892,0.9985149545455922
gini,15,2,1,,balanced,0.0001,0.5,0.9957507384604435,0.9817376367417051,0.9966225518089539,0.9891240982292502,0.9995953206273662,0.9984354656466884
gini,15,2,20,,balanced,0.0001,0.5,0.9957507384604435,0.9817376367417051,0.9966225518089539,0.9891240982292502,0.9995953206273662,0.9984354656466884
gini,15,50,1,,balanced,0.0001,0.5,0.9957507384604435,0.9817376367417051,0.9966225518089539,0.9891240982292502,0.9995953206273662,0.9984354656466884
