experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,use_network_features,drop_original_port_columns,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,input_noise_std,input_dropout,global_pooling,gradient_clip_norm,conv_channels,kernel_size,fc_layers,activation,dropout,learning_rate,batch_size,epochs,weight_decay,device,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2,trial,selected_metric
CNN-20e-tune,easy,Validation,0.9799351957642971,0.9067778375470683,0.9927756728636212,0.947830079937025,0.9976405836349838,0.9893894024526546,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,35,30,0.047755801262768835,True,True,44,0.947830079937025
CNN-20e-tune,easy,Validation,0.9803821215277653,0.9109994941099949,0.9898506056263374,0.9487895979752933,0.9975470442496845,0.9889012149697937,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,38,33,0.04874524303774832,True,True,45,0.9487895979752933
CNN-20e-tune,easy,Validation,0.9802379519266465,0.9097497656306339,0.9906358585759438,0.9484714351499431,0.99728182633304,0.9876715278208228,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,56,51,0.051247186662701144,True,True,46,0.9484714351499431
CNN-20e-tune,easy,Validation,0.9798090473633182,0.9056857025251892,0.993482400518267,0.9475546734571599,0.9974354447000204,0.9883966408969955,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,24,19,0.049300847548825716,True,True,47,0.9475546734571599
CNN-20e-tune,easy,Validation,0.9804073512079611,0.9110850121962237,0.9898898682738178,0.9488540137744157,0.9976734114927925,0.9895303312035103,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,52,47,0.04606682434484731,True,True,48,0.9488540137744157
CNN-20e-tune,easy,Validation,0.979138658718116,0.9084658669416852,0.9856887649934235,0.9455031636034951,0.9970992912581136,0.9868587138937475,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,21,16,0.05570970716829128,True,True,49,0.9455031636034951
CNN-20e-tune,easy,Validation,0.9795603548013884,0.9075114327896007,0.9895168731227547,0.9467416722232135,0.9971487405061585,0.9870661657435646,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,25,20,0.05406420592016872,True,True,50,0.9467416722232135
CNN-20e-tune,easy,Validation,0.980529895368912,0.909866609061943,0.9922456271226369,0.9492722321344728,0.9975394211128373,0.9888403658518948,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,11,6,0.047904672501723096,True,True,51,0.9492722321344728
CNN-20e-tune,easy,Validation,0.9806055844094993,0.9219739913304434,0.9770509825477532,0.9487137941880082,0.9977117065796217,0.9896819376869727,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,19,14,0.04553402454801387,True,True,52,0.9487137941880082
CNN-20e-tune,easy,Validation,0.9803532876075415,0.9100677917207558,0.990910697108306,0.9487702414405609,0.9976518233374362,0.9894789557675171,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,34,29,0.04636242246295875,True,True,53,0.9487702414405609
CNN-20e-tune,easy,Validation,0.9802703900868982,0.9094101755965781,0.9912836922593691,0.9485835587616471,0.9976206725472001,0.9893954982731319,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,39,34,0.04790943043454091,True,True,54,0.9485835587616471
CNN-20e-tune,easy,Validation,0.9810092592926318,0.9139625104238425,0.9897328176838964,0.9503397705959417,0.997851073100614,0.9902116940229269,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,46,41,0.042260327509099235,True,True,55,0.9503397705959417
CNN-20e-tune,easy,Validation,0.9793260791995704,0.9151101070766066,0.978130705353462,0.9455715180384491,0.997444458553635,0.9884748536474136,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,21,16,0.049289092315835586,True,True,56,0.9455715180384491
CNN-20e-tune,easy,Validation,0.9803388706474296,0.9103424632817293,0.9904591766622823,0.9487124039826628,0.9976579367191288,0.9895035472364162,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,37,32,0.04689876424787239,True,True,57,0.9487124039826628
CNN-20e-tune,easy,Validation,0.9802631816068423,0.9090827289578347,0.9916763187341723,0.9485850562409629,0.9975834802229764,0.9891684647624818,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,39,34,0.04818130456831623,True,True,58,0.9485850562409629
CNN-20e-tune,easy,Validation,0.9799532169644369,0.9080151779452227,0.9912247982881486,0.9477971955774971,0.9975800743470831,0.989076622856272,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,20,15,0.04672909003904357,True,True,59,0.9477971955774971
CNN-20e-tune,easy,Validation,0.9786989414347038,0.9012350079304261,0.9927756728636212,0.9447931846205583,0.9970371162994716,0.9863870299425082,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",5,[64],relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,19,14,0.0553459450683361,True,True,60,0.9447931846205583
CNN-20e-tune,easy,Validation,0.9808939236117369,0.9117020892721828,0.992010051237755,0.9501621774079819,0.997778668597453,0.9899724310947168,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",7,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,47,42,0.044786004001209835,True,True,61,0.9501621774079819
CNN-20e-tune,easy,Validation,0.9806560437698909,0.9112402541149293,0.9911855356406682,0.949533132105278,0.9976780797735987,0.9895515052379816,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",7,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,43,38,0.04651029583860269,True,True,62,0.949533132105278
CNN-20e-tune,easy,Validation,0.9802055137663948,0.9176576543459481,0.9801331003749583,0.9478670286484536,0.9969207121836982,0.9858687773971581,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",7,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,12,7,0.04850772658146873,True,True,63,0.9478670286484536
CNN-20e-tune,easy,Validation,0.9810777398531633,0.9286746354919218,0.9715542119005085,0.9496306245802552,0.9979501402091412,0.9906841002220508,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",7,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,25,20,0.04256659714322921,True,True,64,0.9496306245802552
